Date,Duration (hours),Category,Description of completed task,Challenges and/or next steps,Reflection
4/15/26,3.5,Design,"Worked on making fixes on the BC Magazine pages, the fixes included determining which ones required a description about where it would send user if it clicked on the image or completely removing the option to click on the image.",,
4/16/26,3,Design,Continued and finished up fixing the clickable images on the remaining BC Magazine pages.,,
4/17/26,2.5,"Research, Training, Learning","Did some research on how an accessible PDF should look or be created,  to create a guide that explained basic steps and requirements for creating accessible PDF's.",A big part of the accessibility issues were PDF's that were being displayed on different pages of the site due to things like low color contrast and missing proper titles. ,
4/21/26,1.5,,"Worked on putting everything together into a guide for poeple who turn in PDF's to put on the site in the future,",,
4/21/26,2,Design,Began working on fixing a few broken links that came up in new scan.,,
4/22/26,2.5,Design,Fixed more broken links found by scan.,,
4/22/26,1,Design,Did implementation of alt-text for images in the media library in WordPress manuallly.,,
4/23/26,3.5,Design,Continued adding alt-text to media images manually into WordPress.,,
4/24/26,1,Design,Added more alt-text to images manually in wordpress.,,
4/24/26,2.5,"Research, Training, Learning",Researched a bit more about SEO and how providing good alt-text improves the site usability and rankings to create a Job Aide for future web producers.,,
4/25/26,2,Documentation,Read feedback on the Full Draft slides assignment and began constructing the set up for the final deliverable.,,
4/27/26,0.5,Documentation,Updated Timelog,,
4/28/26,1.5,Design,Implemented more alt-text descriptions for the images in media on WordPress.,,
4/28/26,2,Supervisor Discussion,SPoke with supervisor regarding tasks completed so far and received some feedback. Spoke to her about my full slide deliverable and the last day of internship.,,
4/29/26,3,Design,Entered more alt text descriptions to the images in media manually.,,
4/30/26,2,Design,Worked on entering more alt-text descriptions manually.,,The new scann brought the number of issues of 700 to 400 
4/30/26,1.5,"Research, Training, Learning","Worked on another Job Aide for implemeting alt-text descriptions. Explaing what it its, how its helpful for web content production, and give some guidance for future web producers on how to make alt-text descriptions implementations.",,
5/1/26,0.5,Documentation,Updated Timelog.,,
5/3/26,2.5,Other,"Added 3 more slides to the final deliverable, and began on the slides for the last demo recording.",,
5/5/26,1,Design,Put together the 2 page job aide for making alt text implementations.,,
5/5/26,2,Design,Fixed broken links found by webwarden,,
5/7/26,1,Design,Fixed the last broken links on the webwarden list.,,
5/7/26,3,Design,Worked on adding more alt text descriptions to images in WordPress which brought the number of missing alt text to 320 out of 894 that were initially missing.,,
5/8/26,3,Other,Added more slides to the final deliverable.,,
5/9/26,3,Other,Finished the final deliverable slides. Now i need to practice for the demo to make it fit between 10-20 minutes.,,
5/10/26,2,Other,"Practiced for the demo, recorded it and turned it in. ",,
5/10/26,0.5,Documentation,Updated repository.,,
5/10/26,0.2,Documentation,Updated Tiemlog.,,
